Soru,Cevap
Bebeklik döneminde ilk 6 ayda sadece neyle beslenme önerilir?,İlk 6 ay yalnızca anne sütü önerilmektedir.
İlk 6 aydan sonra ek besinlere geçilirken hangi besinlere öncelik verilmelidir?,"Sebzeler, meyveler, yoğurt ve yumurta gibi besinlere öncelik verilir."
Türkiye'de bireylerin ortalama kırmızı et tüketimi nedir?,Ortalama kırmızı et tüketimi 39 gramdır.
Günlük ortalama yumurta tüketimi kadınlarda kaç gramdır?,Kadınlarda günlük yumurta tüketimi ortalama 28 gramdır.
Türkiye’de günlük ortalama süt tüketimi kaç mL'dir?,Günlük süt tüketimi ortalama 34 mL’dir.
Türkiye'de bireylerin günlük yoğurt tüketimi nedir?,Günlük yoğurt tüketimi ortalama 113 gramdır.
Kadınlarda süt ürünlerinden en çok hangisi tüketilmektedir?,Kadınlar süt ürünleri arasında en çok yoğurt tüketmektedir.
Türkiye'de bireylerin ortalama peynir tüketimi kaç gramdır?,Günlük peynir tüketimi ortalama 23 gramdır.
Türkiye'de bireylerin en sık tükettiği tahıl ürünü hangisidir?,En sık tüketilen tahıl ürünü beyaz ekmektir.
Kadınların günlük ortalama beyaz ekmek tüketimi kaç gramdır?,Kadınların beyaz ekmek tüketimi 111 gramdır.
Bireylerin kahvaltıda en sık tükettiği yiyecekler nelerdir?,"Kahvaltıda en sık tüketilenler ekmek, peynir ve çaydır."
Kadınların çay tüketimi ne seviyededir?,"Kadınların çay tüketimi oldukça yüksektir, ortalama 4–5 bardaktır."
Kişi başı günlük şeker tüketimi önerilen sınırın üzerinde midir?,"Evet, kişi başı ortalama şeker tüketimi önerilen sınırı aşmaktadır."
Kadınların günlük ortalama toplam şeker tüketimi kaç gramdır?,Kadınların toplam şeker tüketimi ortalama 66 gramdır.
Türkiye'de kadınlarda eklenmiş şeker tüketiminin enerjiye katkısı yüzde kaçtır?,Eklenmiş şeker tüketiminin enerjiye katkısı kadınlarda %7.3’tür.
TÜBER’e göre en az hangi sıklıkla sebze ve meyve tüketilmelidir?,Sebze ve meyve tüketimi günde en az 5 porsiyon önerilir.
Türkiye'de kadınlarda günlük ortalama sebze tüketimi nedir?,Kadınların günlük sebze tüketimi 208 gramdır.
Kadınlarda günlük ortalama meyve tüketimi kaç gramdır?,Kadınların günlük meyve tüketimi 240 gramdır.
Beyaz ekmek yerine tam tahıllı ekmek önerilmesinin nedeni nedir?,Tam tahıllı ekmek daha fazla lif ve vitamin içerdiği için tercih edilir.
Türkiye'de bireylerin en çok tükettiği içecekler nelerdir?,"En çok tüketilen içecekler su, çay ve ayrandır."
Şekerli içeceklerin sık tüketimi obezite riskini nasıl etkiler?,Şekerli içecekler fazla tüketildiğinde obezite riskini artırır.
Erkeklerin şekerli içecek tüketimi kadınlara göre nasıldır?,Erkekler kadınlara göre daha fazla şekerli içecek tüketir.
Türkiye’de şekerli içecek tüketimi yaşla birlikte nasıl değişmektedir?,Yaş arttıkça şekerli içecek tüketimi azalmaktadır.
Günlük ortalama enerji alımı kadınlarda ne kadardır?,Kadınların enerji alımı ortalama 1840 kcal’dir.
Erkeklerin günlük ortalama enerji alımı kaç kcal'dir?,Erkeklerin enerji alımı ortalama 2320 kcal’dir.
