Soru,Cevap
Bebeklik döneminde ilk 6 ayda sadece neyle beslenme önerilir?,İlk 6 ay yalnızca anne sütü önerilmektedir.
İlk 6 aydan sonra ek besinlere geçilirken hangi besinlere öncelik verilmelidir?,"Sebzeler, meyveler, yoğurt ve yumurta gibi besinlere öncelik verilir."
Türkiye'de bireylerin ortalama kırmızı et tüketimi nedir?,Ortalama kırmızı et tüketimi 39 gramdır.
Günlük ortalama yumurta tüketimi kadınlarda kaç gramdır?,Kadınlarda günlük yumurta tüketimi ortalama 28 gramdır.
Türkiye’de günlük ortalama süt tüketimi kaç mL'dir?,Günlük süt tüketimi ortalama 34 mL’dir.
Türkiye'de bireylerin günlük yoğurt tüketimi nedir?,Günlük yoğurt tüketimi ortalama 113 gramdır.
Kadınlarda süt ürünlerinden en çok hangisi tüketilmektedir?,Kadınlar süt ürünleri arasında en çok yoğurt tüketmektedir.
Türkiye'de bireylerin ortalama peynir tüketimi kaç gramdır?,Günlük peynir tüketimi ortalama 23 gramdır.
Türkiye'de bireylerin en sık tükettiği tahıl ürünü hangisidir?,En sık tüketilen tahıl ürünü beyaz ekmektir.
Kadınların günlük ortalama beyaz ekmek tüketimi kaç gramdır?,Kadınların beyaz ekmek tüketimi 111 gramdır.
Bireylerin kahvaltıda en sık tükettiği yiyecekler nelerdir?,"Kahvaltıda en sık tüketilenler ekmek, peynir ve çaydır."
Kadınların çay tüketimi ne seviyededir?,"Kadınların çay tüketimi oldukça yüksektir, ortalama 4–5 bardaktır."
Kişi başı günlük şeker tüketimi önerilen sınırın üzerinde midir?,"Evet, kişi başı ortalama şeker tüketimi önerilen sınırı aşmaktadır."
Kadınların günlük ortalama toplam şeker tüketimi kaç gramdır?,Kadınların toplam şeker tüketimi ortalama 66 gramdır.
Türkiye'de kadınlarda eklenmiş şeker tüketiminin enerjiye katkısı yüzde kaçtır?,Eklenmiş şeker tüketiminin enerjiye katkısı kadınlarda %7.3’tür.
TÜBER’e göre en az hangi sıklıkla sebze ve meyve tüketilmelidir?,Sebze ve meyve tüketimi günde en az 5 porsiyon önerilir.
Türkiye'de kadınlarda günlük ortalama sebze tüketimi nedir?,Kadınların günlük sebze tüketimi 208 gramdır.
Kadınlarda günlük ortalama meyve tüketimi kaç gramdır?,Kadınların günlük meyve tüketimi 240 gramdır.
Beyaz ekmek yerine tam tahıllı ekmek önerilmesinin nedeni nedir?,Tam tahıllı ekmek daha fazla lif ve vitamin içerdiği için tercih edilir.
Türkiye'de bireylerin en çok tükettiği içecekler nelerdir?,"En çok tüketilen içecekler su, çay ve ayrandır."
Şekerli içeceklerin sık tüketimi obezite riskini nasıl etkiler?,Şekerli içecekler fazla tüketildiğinde obezite riskini artırır.
Erkeklerin şekerli içecek tüketimi kadınlara göre nasıldır?,Erkekler kadınlara göre daha fazla şekerli içecek tüketir.
Türkiye’de şekerli içecek tüketimi yaşla birlikte nasıl değişmektedir?,Yaş arttıkça şekerli içecek tüketimi azalmaktadır.
Günlük ortalama enerji alımı kadınlarda ne kadardır?,Kadınların enerji alımı ortalama 1840 kcal’dir.
Erkeklerin günlük ortalama enerji alımı kaç kcal'dir?,Erkeklerin enerji alımı ortalama 2320 kcal’dir.
Türkiye'de kadınların günlük ortalama tuz tüketimi ne kadardır?,Kadınların günlük ortalama tuz tüketimi 9.2 gramdır.
Kadınların günlük su tüketimi önerilen seviyede midir?,Kadınların günlük ortalama su tüketimi 1424 mL olup önerilen 1500–2000 mL'nin altındadır.
TÜBER 2022’ye göre Türkiye'de günlük ortalama ekmek tüketimi ne kadardır?,Türkiye'de günlük ortalama ekmek tüketimi 180 gramdır.
Türkiye’de bireylerin en çok tükettiği yağ türü nedir?,Ayçiçek yağı Türkiye'de en çok tüketilen yağ türüdür.
Kadınlarda ortalama günlük yağ tüketimi kaç gramdır?,Kadınlarda ortalama yağ alımı 50.2 gramdır.
Türkiye'de doymuş yağ alımı en yüksek hangi bölgede gözlemlenmiştir?,Doğu Karadeniz'de doymuş yağ tüketimi enerji alımının %13'üne kadar çıkmaktadır.
Kadınlarda ortalama kırmızı et tüketimi ne kadardır?,Kadınların ortalama kırmızı et tüketimi 39 gramdır.
Türkiye'de kadınların en sık tercih ettiği içecek hangisidir?,Kadınların en sık tercih ettiği içecek su ve ardından çaydır.
Kadınlarda günlük ortalama posa tüketimi kaç gramdır?,Kadınların günlük ortalama posa alımı 20–24 gram aralığındadır.
TÜBER 2022’ye göre kadınlarda fiziksel aktivite oranı nasıldır?,Kadınların fiziksel aktivite oranı erkeklere göre daha düşüktür.
Kadınların ortalama meyve tüketimi kaç gramdır?,Kadınların günlük ortalama meyve tüketimi 240 gramdır.
Kadınların ortalama sebze tüketimi kaç gramdır?,Kadınların ortalama sebze tüketimi 208 gramdır.
Türkiye'de bireylerin günlük ortalama enerji ihtiyacı ne kadardır?,Türkiye'de bireylerin ortalama enerji ihtiyacı 2000–2500 kcal aralığındadır.
Kadınların günlük ortalama enerji alımı kaç kilokaloridir?,Kadınların günlük enerji alımı ortalama 1840 kcal’dir.
Kadınların günlük karbonhidrat alımı önerilen sınırda mıdır?,Kadınların karbonhidrat alımı genellikle 262 gram olup önerilen sınırdadır.
Kadınların çay tüketim oranı nasıldır?,Kadınların çay tüketimi yüksektir; günde ortalama 4–5 bardak içilmektedir.
Kadınlarda en çok tüketilen süt ürünü hangisidir?,Kadınlar arasında en sık tüketilen süt ürünü yoğurttur.
Kadınlarda günlük yoğurt tüketimi ne kadardır?,Kadınlarda günlük yoğurt tüketimi ortalama 113 gramdır.
Kadınların günlük şekerli içecek tüketimi ne seviyededir?,"Kadınlarda şekerli içecek tüketimi erkeklere kıyasla daha düşüktür ama %24,5 civarındadır."
Kadınların şekerden gelen enerji yüzdesi nedir?,Kadınlarda eklenmiş şeker tüketimi günlük enerjinin %7.3’ünü oluşturur.
Kadınlarda günlük doymuş yağ tüketimi önerilen aralıkta mı?,Kadınların doymuş yağ tüketimi ortalama 13.6 gramdır ve sınıra yakındır.
Kadınların ortalama zeytinyağı tüketimi kaç gramdır?,Zeytinyağı tüketimi kadınlarda 5.3 gram seviyesindedir.
Kadınların en sık yaptığı beslenme hatası nedir?,Kadınlar arasında en sık yapılan beslenme hatası öğün atlama ve aşırı çay tüketimidir.
Kadınlarda obezite oranı TÜBER 2022’ye göre ne kadardır?,TÜBER 2022’ye göre kadınlarda obezite oranı %39.1’dir.
Kadınların ortalama bel çevresi kaç cm'dir?,Kadınların ortalama bel çevresi 88.7 cm’dir.
Kadınların günlük fiziksel aktivite süresi ne kadardır?,Kadınların günlük fiziksel aktivite süresi 30 dakikanın altındadır.
Kadınların ekran başında geçirdiği süre ortalama kaç saattir?,Kadınlar günde ortalama 5–6 saat ekran başında vakit geçirmektedir.
Kadınların evde yemek yeme sıklığı nasıldır?,Kadınların evde yemek yeme oranı oldukça yüksektir.
Kadınların dışarıdan yemek siparişi verme oranı nedir?,Kadınların %35’i düzenli olarak dışarıdan yemek siparişi vermektedir.
Kadınların kahvaltı yapma sıklığı nedir?,Kadınların %64’ü kahvaltıyı düzenli yapmaktadır.
Kadınlarda öğün atlama oranı nedir?,Kadınların %37’si zaman zaman öğün atlamaktadır.
Kadınlarda en çok ihmal edilen besin grubu hangisidir?,Sebze grubu kadınlar tarafından daha az eksik tüketilmekle birlikte süt grubu ihmal edilmektedir.
Kadınların etiket okuma alışkanlığı var mı?,Kadınların %42’si paketli ürünlerin etiketini düzenli olarak okumaktadır.
Kadınların glütensiz ürün tercih etme oranı nasıldır?,Kadınların %18’i glütensiz ürün tercih ettiğini belirtmiştir.
Kadınlarda diyet uygulama oranı ne kadardır?,Kadınların %28’i son 1 yılda en az bir kez diyet uygulamıştır.
Kadınların diyet bırakma oranı ne seviyededir?,Diyet yapan kadınların %52’si diyeti tamamlamadan bırakmıştır.
Kadınların en çok zorlandığı beslenme davranışı nedir?,Kadınların en çok zorlandığı konu tatlı tüketimini bırakmaktır.
Kadınlarda gece atıştırma sıklığı nasıldır?,Kadınların %30’u her gün gece atıştırması yapmaktadır.
Kadınlarda tatlı tüketme eğilimi ne düzeydedir?,Kadınların %46’sı haftada 3 kez tatlı tüketmektedir.
Kadınlarda vitamin takviyesi kullanma oranı nedir?,Kadınların %35’i vitamin takviyesi kullanmaktadır.
Kadınlarda omega-3 takviyesi kullanımı ne sıklıktadır?,Kadınların %20’si düzenli olarak omega-3 takviyesi almaktadır.
Kadınların fast food tüketim sıklığı nedir?,Kadınların %40’ı haftada en az 1 kez fast food tüketmektedir.
Kadınların karbonhidrat tercihi genellikle nedir?,Kadınlar genellikle beyaz ekmek yerine tam tahıl tercih etmeye başlamıştır.
Kadınların yağ tercihi hangi yönde olmaktadır?,Kadınların yağ tercihi genellikle zeytinyağı yönündedir.
Kadınların lif içeriği yüksek gıdaları tüketme sıklığı nasıldır?,Kadınlar lif içeriği yüksek baklagilleri haftada 2–3 kez tüketmektedir.
Kadınların tam tahıllı ekmek tercih etme oranı nedir?,Kadınların %45’i tam tahıllı ekmek tükettiğini belirtmiştir.
Kadınların süt ve süt ürünlerini tüketme nedenleri nelerdir?,Kalsiyum ihtiyacı ve kemik sağlığı için süt ürünleri tüketilmektedir.
Kadınlarda D vitamini eksikliği neden yaygındır?,Kadınlarda D vitamini eksikliği güneşe maruz kalma yetersizliğinden dolayı yaygındır.
Kadınlarda demir eksikliği görülme oranı nedir?,Kadınlarda demir eksikliği oranı %20–25 arasındadır.
Kadınlarda osteoporoz riski ile kalsiyum alımı arasında nasıl bir ilişki vardır?,Yetersiz kalsiyum alımı kadınlarda osteoporoz riskini artırır.
Kadınlarda en sık görülen sağlık problemleri nelerdir?,"Kadınlarda en sık görülen sağlık sorunları arasında anemi, osteoporoz ve obezite yer alır."
Kadınlarda aşırı tuz tüketimi ne gibi sonuçlar doğurur?,"Aşırı tuz tüketimi hipertansiyon, böbrek hasarı ve kalp hastalıkları riskini artırır."
